0.613 0.8
1 -0.412329 0
2 -0.407169 0.00516015
3 -0.450378 0.0433112
4 -0.461156 0.032467
5 -0.435117 0.0362009
6 -0.44792 0.0322115
7 -0.433363 0.0308711
8 -0.431552 0.0267964
9 -0.430026 0.0236814
10 -0.429971 0.0211814
11 -0.43136 0.0192096
12 -0.439759 0.0194437
13 -0.439943 0.0178865
14 -0.438417 0.0166299
15 -0.434814 0.0158953
16 -0.438801 0.0153937
17 -0.444631 0.015591
18 -0.445722 0.0147398
19 -0.439632 0.0152143
20 -0.44367 0.0149878
21 -0.44088 0.0145267
22 -0.441829 0.013883
23 -0.441998 0.0132668
24 -0.443645 0.0128082
25 -0.443501 0.0122861
26 -0.445131 0.0119161
27 -0.444333 0.011494
28 -0.443771 0.0110901
29 -0.434721 0.014015
30 -0.433983 0.0135598
31 -0.421307 0.0182397
32 -0.421277 0.0176605
33 -0.423168 0.0172211
34 -0.425793 0.0169119
35 -0.427917 0.0165584
36 -0.425392 0.0162889
37 -0.425412 0.0158425
38 -0.424224 0.0154657
39 -0.422897 0.0151222
40 -0.422028 0.0147649
41 -0.423091 0.0144395
42 -0.425316 0.014266
43 -0.425203 0.0139308
44 -0.410735 0.0198634
45 -0.409914 0.0194343
46 -0.409426 0.0190134
47 -0.410631 0.0186434
48 -0.40795 0.0184467
49 -0.407359 0.018076
50 -0.409629 0.0178557
51 -0.412499 0.0177358
52 -0.414709 0.0175312
53 -0.41621 0.0172626
54 -0.415759 0.0169459
55 -0.41706 0.0166858
56 -0.418512 0.0164494
57 -0.417774 0.016175
58 -0.418681 0.0159196
59 -0.419543 0.0156711
60 -0.420173 0.0154206
61 -0.420898 0.015183
62 -0.42065 0.0149382
63 -0.420648 0.0146991
64 -0.421156 0.0144765
65 -0.421138 0.0142521
66 -0.420518 0.0140482
67 -0.420772 0.0138393
68 -0.420257 0.0136439
69 -0.420177 0.013445
70 -0.420165 0.0132515
71 -0.420945 0.0130868
72 -0.420949 0.0129038
73 -0.421925 0.0127632
74 -0.422666 0.0126113
75 -0.422069 0.0124563
76 -0.42125 0.0123186
77 -0.420585 0.0121757
78 -0.421646 0.0120654
79 -0.422305 0.0119298
80 -0.422469 0.0117809
81 -0.421131 0.0117112
82 -0.421012 0.0115681
83 -0.421259 0.0114305
84 -0.420473 0.0113209
85 -0.421211 0.0112113
86 -0.421681 0.0110901
87 -0.422139 0.0109714
88 -0.419775 0.0111007
89 -0.420779 0.0110211
90 -0.421607 0.0109294
91 -0.421033 0.0108239
92 -0.422126 0.0107613
93 -0.422227 0.0106454
94 -0.423008 0.0105605
95 -0.420169 0.0108277
96 -0.420449 0.010718
97 -0.421091 0.0106263
98 -0.421029 0.0105175
99 -0.419817 0.010481
100 -0.420674 0.010411
