sigma		mu		energy

0.1		0		28.9934
0.1		0.02		22.5682
0.1		0.04		25.3243
0.1		0.06		16.1672
0.1		0.08		14.423
0.1		0.1		11.8888
0.1		0.12		12.7268
0.1		0.14		12.476
0.1		0.16		16.407
0.1		0.18		21.3715
0.1		0.2		21.9721
0.1		0.22		20.7805
0.1		0.24		25.2428
0.1		0.26		26.2985
0.1		0.28		22.4607
0.1		0.3		24.1361
0.1		0.32		25.2668
0.1		0.34		22.5558
0.1		0.36		21.7416
0.1		0.38		22.132
0.1		0.4		26.2734
0.1		0.42		24.7718
0.1		0.44		24.8369
0.1		0.46		25.7754
0.1		0.48		26.4058
0.1		0.5		24.4039
0.1		0.52		25.053
0.1		0.54		23.3253
0.1		0.56		25.3083
0.1		0.58		21.9998
0.1		0.6		25.6175
0.1		0.62		23.4103
0.1		0.64		23.0763
0.1		0.66		25.2203
0.1		0.68		25.7336
0.1		0.7		24.396
0.1		0.72		22.2229
0.1		0.74		26.6327
0.1		0.76		22.551
0.1		0.78		24.9911
0.1		0.8		24.6699
0.1		0.82		24.6566
0.1		0.84		21.4617
0.1		0.86		24.36
0.1		0.88		22.2314
0.1		0.9		23.8604
0.1		0.92		20.937
0.1		0.94		22.9307
0.1		0.96		22.6095
0.1		0.98		21.7805
0.1		1		25.1656
0.1		1.02		26.6784
0.1		1.04		24.0974
0.1		1.06		24.2091
0.1		1.08		23.5272
0.1		1.1		20.9544
0.1		1.12		21.1578
0.1		1.14		23.5827
0.1		1.16		24.1635
0.1		1.18		23.5832
0.1		1.2		23.6471
0.1		1.22		21.6726
0.1		1.24		22.0443
0.1		1.26		25.3409
0.1		1.28		24.7769
0.1		1.3		22.4936
0.1		1.32		22.636
0.1		1.34		26.4361
0.1		1.36		20.2631
0.1		1.38		24.3543
0.1		1.4		25.2863
0.1		1.42		25.9288
0.1		1.44		23.6882
0.1		1.46		22.6783
0.1		1.48		26.9179
0.1		1.5		23.1493
0.1		1.52		23.2857
0.1		1.54		23.7873
0.1		1.56		21.482
0.1		1.58		23.5421
0.1		1.6		26.5871
0.1		1.62		22.2654
0.1		1.64		27.5136
0.1		1.66		21.2105
0.1		1.68		27.0869
0.1		1.7		26.5658
0.1		1.72		25.21
0.1		1.74		24.361
0.1		1.76		28.3816
0.1		1.78		24.1591
0.1		1.8		25.7291
0.1		1.82		27.7431
0.1		1.84		23.8478
0.1		1.86		27.9074
0.1		1.88		28.6774
0.1		1.9		28.9699
0.1		1.92		30.2614
0.1		1.94		30.203
0.1		1.96		33.1124
0.1		1.98		33.385
0.119		0		16.9732
0.119		0.02		15.6916
0.119		0.04		15.9413
0.119		0.06		13.4641
0.119		0.08		11.3776
0.119		0.1		8.86775
0.119		0.12		8.16819
0.119		0.14		6.6248
0.119		0.16		7.47969
0.119		0.18		9.36668
0.119		0.2		10.2292
0.119		0.22		13.0508
0.119		0.24		13.6603
0.119		0.26		18.3874
0.119		0.28		17.7769
0.119		0.3		16.3974
0.119		0.32		16.1275
0.119		0.34		15.9077
0.119		0.36		17.1749
0.119		0.38		15.8647
0.119		0.4		16.6447
0.119		0.42		17.9326
0.119		0.44		18.2189
0.119		0.46		17.6435
0.119		0.48		16.3273
0.119		0.5		17.2457
0.119		0.52		18.2185
0.119		0.54		18.8634
0.119		0.56		18.3499
0.119		0.58		17.3785
0.119		0.6		17.9136
0.119		0.62		15.6055
0.119		0.64		15.9858
0.119		0.66		16.5711
0.119		0.68		18.3003
0.119		0.7		16.7025
0.119		0.72		15.2599
0.119		0.74		15.1199
0.119		0.76		17.1977
0.119		0.78		14.5029
0.119		0.8		14.3781
0.119		0.82		16.6664
0.119		0.84		15.6359
0.119		0.86		16.4896
0.119		0.88		16.2753
0.119		0.9		17.1027
0.119		0.92		16.8464
0.119		0.94		16.9733
0.119		0.96		17.913
0.119		0.98		16.2549
0.119		1		15.4381
0.119		1.02		15.6334
0.119		1.04		16.2402
0.119		1.06		15.5838
0.119		1.08		14.9217
0.119		1.1		19.4896
0.119		1.12		15.431
0.119		1.14		15.6164
0.119		1.16		15.1683
0.119		1.18		17.0398
0.119		1.2		17.0069
0.119		1.22		15.8557
0.119		1.24		16.2552
0.119		1.26		17.0462
0.119		1.28		15.1738
0.119		1.3		17.7301
0.119		1.32		15.8122
0.119		1.34		17.2318
0.119		1.36		15.4778
0.119		1.38		14.6751
0.119		1.4		15.5809
0.119		1.42		17.816
0.119		1.44		17.5621
0.119		1.46		15.3361
0.119		1.48		17.0129
0.119		1.5		17.4031
0.119		1.52		14.6133
0.119		1.54		15.2222
0.119		1.56		17.6082
0.119		1.58		16.5755
0.119		1.6		16.9575
0.119		1.62		17.8282
0.119		1.64		17.5766
0.119		1.66		20.1905
0.119		1.68		17.7363
0.119		1.7		21.1743
0.119		1.72		14.1465
0.119		1.74		19.945
0.119		1.76		17.2098
0.119		1.78		20.1744
0.119		1.8		21.3761
0.119		1.82		20.1119
0.119		1.84		19.6877
0.119		1.86		22.4269
0.119		1.88		22.3889
0.119		1.9		22.0691
0.119		1.92		22.4079
0.119		1.94		23.6892
0.119		1.96		23.7306
0.119		1.98		22.2667
0.138		0		13.2265
0.138		0.02		11.686
0.138		0.04		10.93
0.138		0.06		10.3613
0.138		0.08		7.68695
0.138		0.1		7.82018
0.138		0.12		6.30418
0.138		0.14		5.14481
0.138		0.16		6.04716
0.138		0.18		5.58611
0.138		0.2		6.94026
0.138		0.22		8.00827
0.138		0.24		9.51328
0.138		0.26		9.57167
0.138		0.28		8.9903
0.138		0.3		13.5297
0.138		0.32		11.6291
0.138		0.34		12.77
0.138		0.36		12.285
0.138		0.38		12.2389
0.138		0.4		12.1747
0.138		0.42		11.7499
0.138		0.44		13.0657
0.138		0.46		12.5557
0.138		0.48		12.3102
0.138		0.5		12.5007
0.138		0.52		12.7049
0.138		0.54		12.7626
0.138		0.56		11.6057
0.138		0.58		13.1039
0.138		0.6		12.7306
0.138		0.62		10.6609
0.138		0.64		12.3169
0.138		0.66		11.6359
0.138		0.68		11.2648
0.138		0.7		12.0772
0.138		0.72		11.2852
0.138		0.74		12.7331
0.138		0.76		11.8942
0.138		0.78		11.9738
0.138		0.8		11.6982
0.138		0.82		13.0803
0.138		0.84		11.0643
0.138		0.86		11.4001
0.138		0.88		10.9192
0.138		0.9		12.1224
0.138		0.92		12.8445
0.138		0.94		10.807
0.138		0.96		11.3088
0.138		0.98		12.0669
0.138		1		12.2114
0.138		1.02		12.8544
0.138		1.04		12.5318
0.138		1.06		11.3586
0.138		1.08		12.1886
0.138		1.1		11.0698
0.138		1.12		11.6219
0.138		1.14		11.9175
0.138		1.16		11.795
0.138		1.18		11.2104
0.138		1.2		11.5309
0.138		1.22		11.5127
0.138		1.24		12.0437
0.138		1.26		11.5025
0.138		1.28		12.8279
0.138		1.3		10.3157
0.138		1.32		11.8371
0.138		1.34		10.8981
0.138		1.36		12.4662
0.138		1.38		13.2202
0.138		1.4		11.4114
0.138		1.42		10.5837
0.138		1.44		12.1964
0.138		1.46		11.7837
0.138		1.48		12.5555
0.138		1.5		13.2912
0.138		1.52		12.683
0.138		1.54		13.6899
0.138		1.56		14.075
0.138		1.58		13.112
0.138		1.6		12.2042
0.138		1.62		14.0042
0.138		1.64		12.2339
0.138		1.66		14.8092
0.138		1.68		14.5821
0.138		1.7		13.7154
0.138		1.72		16.3325
0.138		1.74		15.1836
0.138		1.76		12.3152
0.138		1.78		15.73
0.138		1.8		15.8613
0.138		1.82		15.0549
0.138		1.84		16.7258
0.138		1.86		16.237
0.138		1.88		16.6359
0.138		1.9		14.2689
0.138		1.92		19.6404
0.138		1.94		19.3008
0.138		1.96		16.1796
0.138		1.98		19.3495
0.157		0		8.03343
0.157		0.02		10.3952
0.157		0.04		9.55443
0.157		0.06		9.32618
0.157		0.08		7.5636
0.157		0.1		6.93843
0.157		0.12		6.04
0.157		0.14		5.02972
0.157		0.16		5.07496
0.157		0.18		4.465
0.157		0.2		4.68075
0.157		0.22		4.721
0.157		0.24		5.68843
0.157		0.26		7.13667
0.157		0.28		8.54727
0.157		0.3		7.89593
0.157		0.32		8.50668
0.157		0.34		8.99635
0.157		0.36		7.94969
0.157		0.38		8.30105
0.157		0.4		9.26667
0.157		0.42		9.36318
0.157		0.44		9.26736
0.157		0.46		10.0166
0.157		0.48		10.2043
0.157		0.5		10.1179
0.157		0.52		9.9434
0.157		0.54		9.61447
0.157		0.56		9.61584
0.157		0.58		9.36269
0.157		0.6		9.38973
0.157		0.62		9.47695
0.157		0.64		9.28903
0.157		0.66		8.59482
0.157		0.68		9.16867
0.157		0.7		10.1133
0.157		0.72		9.3596
0.157		0.74		9.30836
0.157		0.76		8.51611
0.157		0.78		8.84204
0.157		0.8		8.38795
0.157		0.82		8.61476
0.157		0.84		8.01493
0.157		0.86		9.44319
0.157		0.88		8.83457
0.157		0.9		9.48217
0.157		0.92		9.49276
0.157		0.94		8.70185
0.157		0.96		8.56468
0.157		0.98		8.85645
0.157		1		8.73178
0.157		1.02		8.96296
0.157		1.04		7.99477
0.157		1.06		9.42238
0.157		1.08		9.01317
0.157		1.1		8.45424
0.157		1.12		8.88239
0.157		1.14		8.27227
0.157		1.16		9.07085
0.157		1.18		8.75693
0.157		1.2		8.10242
0.157		1.22		8.83632
0.157		1.24		9.33367
0.157		1.26		10.0095
0.157		1.28		9.71742
0.157		1.3		9.16597
0.157		1.32		8.5235
0.157		1.34		8.69074
0.157		1.36		10.2827
0.157		1.38		8.79084
0.157		1.4		9.35455
0.157		1.42		10.057
0.157		1.44		9.64933
0.157		1.46		9.85938
0.157		1.48		9.70871
0.157		1.5		10.8655
0.157		1.52		9.1376
0.157		1.54		9.07439
0.157		1.56		10.5135
0.157		1.58		9.78457
0.157		1.6		10.0547
0.157		1.62		12.3094
0.157		1.64		11.7873
0.157		1.66		12.451
0.157		1.68		11.8987
0.157		1.7		10.9145
0.157		1.72		12.4508
0.157		1.74		11.974
0.157		1.76		11.6513
0.157		1.78		12.7715
0.157		1.8		12.5977
0.157		1.82		13.3646
0.157		1.84		13.4036
0.157		1.86		13.1536
0.157		1.88		14.5311
0.157		1.9		15.9851
0.157		1.92		14.0737
0.157		1.94		16.2266
0.157		1.96		15.473
0.157		1.98		16.4231
0.176		0		7.26899
0.176		0.02		7.65056
0.176		0.04		7.71336
0.176		0.06		7.47367
0.176		0.08		6.66576
0.176		0.1		5.80615
0.176		0.12		5.74924
0.176		0.14		4.15865
0.176		0.16		4.27433
0.176		0.18		3.36775
0.176		0.2		3.86379
0.176		0.22		3.87663
0.176		0.24		3.80576
0.176		0.26		4.25633
0.176		0.28		4.95583
0.176		0.3		5.89411
0.176		0.32		5.76832
0.176		0.34		6.52032
0.176		0.36		7.3699
0.176		0.38		7.11249
0.176		0.4		6.60549
0.176		0.42		7.085
0.176		0.44		7.82897
0.176		0.46		7.36266
0.176		0.48		7.66933
0.176		0.5		7.3509
0.176		0.52		7.31658
0.176		0.54		7.44431
0.176		0.56		7.68026
0.176		0.58		7.27263
0.176		0.6		6.87877
0.176		0.62		7.41309
0.176		0.64		7.60391
0.176		0.66		7.64609
0.176		0.68		7.33629
0.176		0.7		6.84819
0.176		0.72		6.81689
0.176		0.74		6.83626
0.176		0.76		6.83827
0.176		0.78		6.94841
0.176		0.8		6.31231
0.176		0.82		7.20388
0.176		0.84		6.78547
0.176		0.86		6.46707
0.176		0.88		6.44051
0.176		0.9		6.97697
0.176		0.92		7.25096
0.176		0.94		6.14573
0.176		0.96		6.77732
0.176		0.98		6.07706
0.176		1		6.64185
0.176		1.02		6.99678
0.176		1.04		6.80628
0.176		1.06		6.12305
0.176		1.08		5.92191
0.176		1.1		6.55855
0.176		1.12		6.53427
0.176		1.14		6.4724
0.176		1.16		5.81038
0.176		1.18		5.89368
0.176		1.2		7.21905
0.176		1.22		5.99004
0.176		1.24		6.20671
0.176		1.26		6.6538
0.176		1.28		6.77422
0.176		1.3		7.02449
0.176		1.32		6.59713
0.176		1.34		7.54959
0.176		1.36		7.5185
0.176		1.38		7.21226
0.176		1.4		6.6887
0.176		1.42		7.31564
0.176		1.44		6.97929
0.176		1.46		6.93427
0.176		1.48		7.35084
0.176		1.5		7.77185
0.176		1.52		7.48417
0.176		1.54		7.68121
0.176		1.56		8.07591
